Starting new measurement at 08.May.2019 - 12:47:26
Time, Eurotherm2416, Keithley2000
2822.756,41.0,29.7520516
2838.054,41.1,29.95311
2852.843,41.6,29.7413042
2867.641,41.5,29.7877671
2882.94,41.6,29.6805119
2897.728,41.5,29.8567733
2913.026,41.9,29.6778289
2927.815,41.7,29.7708936
2943.113,41.9,29.6486816
2957.902,42.3,29.7865622
2973.2,42.5,29.6715477
2987.989,42.3,29.7422248
3002.777,42.5,29.6911074
3018.076,42.8,29.5048658
3032.864,42.7,29.4930942
3048.163,43.1,29.4451816
3062.961,43.1,29.464769
3078.259,43.2,29.3358013
3093.048,43.4,29.2224393
3107.836,43.3,29.3707413
3123.135,43.6,29.1473903
3137.933,43.6,29.217788
3153.232,43.9,28.8658019
3168.02,44.1,28.971873
3183.319,43.9,28.7887245
3198.107,44.0,29.0097408
3212.896,44.2,28.9025265
3228.194,44.3,29.030556
3242.992,44.8,28.9511334
3258.301,44.5,28.7282961
3273.089,44.9,28.6552636
3288.388,45.1,28.6617001
3303.176,45.2,28.9208189
3318.475,45.4,28.6341797
3333.263,45.4,28.4830518
3348.052,45.5,28.3926686
3363.35,45.5,28.3977342
3378.138,45.8,28.3442781
3393.447,45.9,28.5816338
3408.235,46.0,28.5452944
3423.534,46.1,28.6921292
3438.322,46.1,28.6126229
3453.111,46.4,28.3878274
3468.409,46.3,28.3523065
3483.198,46.8,28.3548328
3498.506,46.6,28.4035258
3513.295,46.6,28.5227546
3528.593,46.8,28.1102757
3543.381,47.0,28.1959271
3558.17,47.1,27.9964561
3573.468,47.6,28.0080813
3588.257,47.2,28.1335086
3603.555,47.8,28.0520507
3618.344,47.7,28.164774
3633.642,48.0,28.0159267
3648.441,48.2,27.6795515
3663.239,47.8,27.8220165
3678.538,48.2,27.2694586
3693.326,48.3,27.3362576
3708.624,48.3,27.3925525
3723.413,48.5,27.1714918
3738.711,48.6,27.1905597
3753.5,48.9,27.0857041
3768.798,49.0,26.9208703
3783.587,49.0,26.7415283
3798.385,49.0,26.872273
3813.684,49.2,26.4948208
3828.472,49.5,26.2663148
3843.771,49.5,26.1492017
3858.559,49.6,26.3407819
3873.857,50.2,26.0906648
3888.646,49.9,26.3732595
3903.434,49.8,26.4137516
3918.733,50.2,26.6396274
3933.521,50.5,26.5973883
3948.83,50.4,26.3618837
3963.618,50.6,26.1916268
3978.917,50.7,26.1071088
3993.705,50.7,26.0884104
4008.494,51.0,25.8632161
4023.792,51.1,25.9940811
4038.58,51.6,25.971541
4053.879,51.0,25.9997161
4068.667,51.2,25.9924227
4083.966,51.7,25.7019157
4098.754,51.6,25.7230391
4114.053,51.8,25.6123018
4128.841,52.1,25.4660946
4143.64,51.9,25.586241
4158.938,52.3,25.493105
4173.727,52.2,25.5541342
4189.025,52.7,25.3264007
4203.823,52.6,25.1505523
4219.122,52.7,24.85277
4233.91,52.7,25.04644
4248.699,52.9,24.9541324
4264.007,53.2,24.8906016
4278.796,53.1,24.78392
4294.094,53.2,24.6248165
4308.883,53.4,24.5542075
4324.181,53.9,24.0473457
4338.979,53.6,23.9677274
4353.768,53.8,24.2261667
4369.066,54.1,23.8900901
4383.855,53.9,23.8423036
4399.153,54.3,23.8843055
4413.942,54.2,23.7394409
4429.24,54.5,23.6259291
4444.029,54.7,23.7670861
4458.817,54.6,23.581113
4474.116,54.7,23.4399086
4488.904,54.9,23.5203068
4504.202,55.0,23.1689673
4518.991,55.4,23.0626426
4534.299,55.1,22.7488488
4549.088,55.1,22.7424155
4564.386,55.7,22.8734063
4579.175,55.5,22.8304581
4594.473,55.8,22.7097235
4609.262,55.9,22.6536126
4624.05,56.1,22.6298018
4639.349,56.4,23.1288794
4654.137,56.1,22.8555055
4669.435,56.5,22.4917043
4684.224,56.6,22.4191726
4699.522,56.7,22.3288097
4714.311,56.9,22.203091
4729.099,56.7,22.1192519
4744.398,57.2,22.1945162
4759.186,57.1,22.1912082
4774.485,57.2,22.1375747
4789.273,57.4,22.0030673
4804.581,57.6,21.9695489
4819.37,57.8,21.976109
4834.158,57.8,21.6577991
4849.457,57.8,21.7485625
4864.255,58.2,21.5660963
4879.554,58.4,21.4969453
4894.342,58.2,21.4428387
4909.641,58.5,21.2311933
4924.439,58.6,21.0165974
4939.228,58.6,20.9815218
4954.526,59.2,20.8670661
4969.315,58.8,20.8868818
4984.613,59.3,20.7669563
4999.401,59.1,20.9298113
5014.7,59.4,20.7903897
5029.488,59.6,20.7250347
5044.787,59.4,20.505231
5059.585,59.9,20.4240634
5074.374,59.9,20.1580813
5089.672,60.1,20.0183197
5104.461,60.1,20.0403859
5119.759,60.4,19.9833793
5134.547,60.3,19.8159378
5149.846,60.3,19.7091715
5164.634,60.6,19.7140001
5179.933,60.6,19.4986049
5194.731,61.0,19.4199194
5209.52,61.0,19.2926197
5224.818,61.3,19.1294982
5239.607,61.1,19.1017255
5254.905,61.0,19.082912
5269.694,61.5,18.9371503
5284.992,61.3,19.0095566
5299.78,61.6,19.0736744
5315.079,62.2,18.8001277
5329.867,61.5,18.752072
5344.656,62.3,18.8959014
5359.954,61.9,18.7997007
5374.743,62.4,18.5071997
5390.041,62.2,18.3471489
5404.83,62.6,18.2831935
5420.128,62.7,18.072858
5434.917,63.0,18.1887433
5450.215,63.0,17.9925553
5465.003,63.1,17.931204
5479.792,63.2,17.8412715
5495.09,63.3,17.7866761
5509.879,63.6,17.5888834
5525.177,63.5,17.4812814
5539.976,63.7,17.3899001
5555.284,63.9,17.5629377
5570.073,63.9,17.5312982
5584.861,64.2,17.3058445
5600.16,64.1,17.1829668
5614.958,64.0,16.9297564
5630.256,64.5,16.9352766
5645.045,64.6,16.7515376
5660.343,64.7,16.6162696
5675.132,64.8,16.6212114
5689.92,64.9,16.5267621
5705.219,65.5,16.434785
5720.017,65.1,16.4199936
5735.316,65.2,16.3388502
5750.104,65.3,16.1156272
5765.402,65.6,16.1388085
5780.191,65.9,16.1267885
5795.499,65.7,16.0146446
5810.288,65.7,15.9909132
5825.076,66.2,15.8721215
5840.378,66.2,15.7774417
5855.166,66.3,15.6658548
5870.464,66.4,15.6119048
5885.263,66.7,15.495229
5900.561,66.7,15.4241213
5915.35,66.7,15.2912221
5930.138,66.9,15.2533098
5945.437,67.2,15.1666476
5960.225,67.2,15.1221557
5975.524,67.2,15.0556562
5990.312,67.7,14.9237844
6005.61,67.3,14.8893483
6020.399,67.7,14.7819246
6035.187,67.9,14.7966613
6050.486,67.8,14.7632441
6065.274,68.2,14.62191
6080.573,68.0,14.6557703
6095.361,68.3,14.4998266
6110.66,68.6,14.4953182
6125.458,68.4,14.4519818
6140.767,68.6,14.324767
6155.555,68.9,14.2709562
6170.344,69.1,14.1785686
6185.642,69.2,14.178604
6200.44,69.3,14.0588779
6215.749,69.5,14.0649269
6230.537,69.2,13.9148634
6245.846,69.7,13.9138806
6260.644,69.9,13.8911401
6275.443,69.7,13.7735419
6290.741,70.2,13.7731685
6305.53,69.9,13.7576061
6320.828,69.9,13.6447279
6335.626,69.9,13.579688
6350.924,69.8,13.5498378
